"file","simulator","depth_label","dropout","separability","n_cells_target","batch","gene_strategy","clipping","is_null_control","error"
"data/simulated/sce/scdesign3/scdesign3_sce_run_00122.rds","scdesign3","500","high","high","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00123.rds","scdesign3","500","high","high","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00124.rds","scdesign3","500","high","high","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00125.rds","scdesign3","500","high","high","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00126.rds","scdesign3","2000","high","high","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00127.rds","scdesign3","2000","high","high","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00128.rds","scdesign3","2000","high","high","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00129.rds","scdesign3","2000","high","high","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00130.rds","scdesign3","2000","high","high","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00131.rds","scdesign3","10000","high","high","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00132.rds","scdesign3","10000","high","high","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00133.rds","scdesign3","10000","high","high","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00134.rds","scdesign3","10000","high","high","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00135.rds","scdesign3","10000","high","high","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00136.rds","scdesign3","500","none","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00137.rds","scdesign3","500","none","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00138.rds","scdesign3","500","none","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00139.rds","scdesign3","500","none","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00140.rds","scdesign3","500","none","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00141.rds","scdesign3","2000","none","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00142.rds","scdesign3","2000","none","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00143.rds","scdesign3","2000","none","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00144.rds","scdesign3","2000","none","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00145.rds","scdesign3","2000","none","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00146.rds","scdesign3","10000","none","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00147.rds","scdesign3","10000","none","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00148.rds","scdesign3","10000","none","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00149.rds","scdesign3","10000","none","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00150.rds","scdesign3","10000","none","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00151.rds","scdesign3","500","low","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00152.rds","scdesign3","500","low","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00153.rds","scdesign3","500","low","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00154.rds","scdesign3","500","low","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00155.rds","scdesign3","500","low","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00156.rds","scdesign3","2000","low","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00157.rds","scdesign3","2000","low","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00158.rds","scdesign3","2000","low","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00159.rds","scdesign3","2000","low","low","1000","none","all","none","FALSE",NA
