"file","simulator","run_id","sparsity_label","stored_achieved_sparsity","recomputed_zero_frac","n_genes","n_cells","error","deviation","stored_vs_recomputed_diff"
"data/simulated/sce/scdesign3/scdesign3_sce_run_00166.rds","scdesign3",166,0.7,0.9702,0.9702275,2000,1000,NA,0.2702275,2.75000000000691e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00167.rds","scdesign3",167,0.8,0.9748,0.9747665,2000,1000,NA,0.1747665,3.35000000000196e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00168.rds","scdesign3",168,0.9,0.9807,0.9806625,2000,1000,NA,0.0806625,3.75000000000236e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00169.rds","scdesign3",169,0.95,0.9867,0.986685,2000,1000,NA,0.0366850000000001,1.49999999999872e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00171.rds","scdesign3",171,0.7,0.9174,0.917382,2000,1000,NA,0.217382,1.79999999999625e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00172.rds","scdesign3",172,0.8,0.9297,0.929665,2000,1000,NA,0.129665,3.50000000000072e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00173.rds","scdesign3",173,0.9,0.9463,0.9463145,2000,1000,NA,0.0463144999999999,1.44999999999174e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00176.rds","scdesign3",176,0.7,0.9169,0.9168575,2000,1000,NA,0.2168575,4.25000000000564e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00177.rds","scdesign3",177,0.8,0.9293,0.92932,2000,1000,NA,0.12932,2.000000000002e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00178.rds","scdesign3",178,0.9,0.9458,0.9458235,2000,1000,NA,0.0458235,2.35000000000651e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00181.rds","scdesign3",181,0.7,0.9501,0.9501235,2000,1000,NA,0.2501235,2.35000000000651e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00182.rds","scdesign3",182,0.8,0.9576,0.9576005,2000,1000,NA,0.1576005,4.99999999958867e-07
"data/simulated/sce/scdesign3/scdesign3_sce_run_00183.rds","scdesign3",183,0.9,0.9675,0.967498,2000,1000,NA,0.0674979999999999,2.00000000005751e-06
"data/simulated/sce/scdesign3/scdesign3_sce_run_00186.rds","scdesign3",186,0.7,0.8635,0.8635225,2000,1000,NA,0.1635225,2.24999999999254e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00187.rds","scdesign3",187,0.8,0.884,0.8840285,2000,1000,NA,0.0840285,2.84999999999869e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00191.rds","scdesign3",191,0.7,0.8628,0.862778,2000,1000,NA,0.162778,2.19999999999665e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00192.rds","scdesign3",192,0.8,0.8835,0.8834915,2000,1000,NA,0.0834914999999999,8.49999999996687e-06
