"source","run_id","method","status","subspace_recovery_score_samegenes","grassmann_distance_samegenes","n_genes_used_samegenes","subspace_recovery_score","grassmann_distance","recovery_score_delta"
"splatter",216,"pca_shiftedlog","ok",0.911205541371153,0.595967981115921,3000,0.904360978866926,0.618511183837686,0.00684456250422727
"splatter",217,"pca_libnorm","ok",0.668269518407956,1.15192097227552,3000,0.666367983124541,1.15521775761189,0.00190153528341508
"splatter",217,"pca_log","ok",0.657216243958734,1.17095474898267,3000,0.649810869484873,1.1835356023629,0.00740537447386092
"splatter",217,"pca_raw","ok",0.497374347301326,1.41792193395641,3000,0.495209484127503,1.42097222474262,0.00216486317382258
"splatter",217,"pca_shiftedlog","ok",0.898567570807005,0.636969164694791,3000,0.892255252992619,0.656489899411655,0.00631231781438613
"splatter",218,"pca_libnorm","ok",0.470452126309081,1.45540080210356,3000,0.469873133792093,1.45619623156758,0.000578992516987564
"splatter",218,"pca_log","ok",0.6885406320061,1.11617089729826,3000,0.681305050266949,1.12906146818152,0.00723558173915062
"splatter",218,"pca_raw","ok",0.393490796621033,1.55757401542138,3000,0.392146079214522,1.55929974127552,0.00134471740651138
"splatter",218,"pca_shiftedlog","ok",0.761141012334857,0.977464040597184,3000,0.765557593656936,0.968385060485888,-0.00441658132207923
"splatter",219,"pca_libnorm","ok",0.285632697101189,1.69040504364937,3000,0.284550831828097,1.69168456654532,0.00108186527309212
"splatter",219,"pca_log","ok",0.314375465526351,1.65604895395474,3000,0.309032950046383,1.66248855629579,0.00534251547996784
"splatter",219,"pca_raw","ok",0.33699692765986,1.62850001208491,3000,0.335840447646221,1.62991969416138,0.00115648001363911
"splatter",219,"pca_shiftedlog","ok",0.323612493716143,1.64485562440459,3000,0.321557326459126,1.64735263200187,0.00205516725701743
"splatter",220,"pca_libnorm","ok",0.159960106291794,1.83307380506973,3000,0.160383396953571,1.83261190986682,-0.000423290661776515
"splatter",220,"pca_log","ok",0.143067344206293,1.85141314221727,3000,0.139661371209653,1.85508881597658,0.00340597299663956
"splatter",220,"pca_raw","ok",0.177338591245146,1.81401368104527,3000,0.176575651430571,1.81485464825085,0.00076293981457537
"splatter",220,"pca_shiftedlog","ok",0.21100517013593,1.77650761874423,3000,0.206588489619718,1.78147299769632,0.00441668051621227
"splatter",221,"pca_libnorm","ok",0.985630892845197,0.239742421400992,3000,0.984223297914634,0.251210685165786,0.00140759493056331
"splatter",221,"pca_log","ok",0.603284429621424,1.25970722055337,3000,0.601774696345623,1.26210190342044,0.00150973327580062
"splatter",221,"pca_raw","ok",0.74666699174529,1.00664394550349,3000,0.745803040176109,1.00835898334649,0.000863951569180954
"splatter",221,"pca_shiftedlog","ok",0.819229018867722,0.850343415644004,3000,0.790043116464207,0.916421046322689,0.029185902403515
"splatter",222,"pca_libnorm","ok",0.975955048531067,0.310128692441916,3000,0.974383976507127,0.320100131164438,0.0015710720239398
"splatter",222,"pca_log","ok",0.625269729046617,1.22430432647015,3000,0.623472542863193,1.22723666362574,0.00179718618342406
"splatter",222,"pca_raw","ok",0.739694200829644,1.02040344799566,3000,0.738708667341048,1.02233327767211,0.000985533488595536
"splatter",222,"pca_shiftedlog","ok",0.830751188208537,0.822797209016809,3000,0.803582071487784,0.886381246444702,0.0271691167207534
"splatter",223,"pca_libnorm","ok",0.695984598064908,1.1027518341587,3000,0.694595750633931,1.1052678396951,0.00138884743097734
"splatter",223,"pca_log","ok",0.684466255758751,1.1234478078509,3000,0.677479688632965,1.13581743491995,0.00698656712578583
"splatter",223,"pca_raw","ok",0.476144841436879,1.44755678101154,3000,0.475621800106147,1.44827925469345,0.000523041330732277
"splatter",223,"pca_shiftedlog","ok",0.856181433065985,0.758468369634528,3000,0.833197198771965,0.816829973074043,0.0229842342940202
"splatter",224,"pca_libnorm","ok",0.188600612553637,1.80155420395431,3000,0.187889888251668,1.80234304364994,0.000710724301968613
"splatter",224,"pca_log","ok",0.51720133191562,1.38967430441004,3000,0.514822444034062,1.39309375989693,0.00237888788155838
"splatter",224,"pca_raw","ok",0.178469588556981,1.81276629651262,3000,0.178039538318167,1.81324070292042,0.000430050238813734
"splatter",224,"pca_shiftedlog","ok",0.489710673320874,1.42869076665194,3000,0.501315151430758,1.41235243274367,-0.0116044781098838
"splatter",225,"pca_libnorm","ok",0.195422179309504,1.79396524012088,3000,0.193619667808675,1.79597364367223,0.00180251150082919
"splatter",225,"pca_log","ok",0.141686467753614,1.85290424172043,3000,0.157467191284818,1.83579171881255,-0.0157807235312042
"splatter",225,"pca_raw","ok",0.114501928918081,1.88201814133862,3000,0.114222667320119,1.88231488617593,0.000279261597962155
"splatter",225,"pca_shiftedlog","ok",0.159015657134557,1.83410396964343,3000,0.154912620517493,1.83857268497333,0.00410303661706365
"splatter",256,"pca_libnorm","ok",0.859857940221346,0.748711051818132,3000,0.857681293493502,0.754503032482967,0.00217664672784446
"splatter",256,"pca_log","ok",0.922539444393854,0.556634729804548,3000,0.91800983101609,0.572678510104614,0.00452961337776436
"splatter",256,"pca_raw","ok",0.670139934141677,1.14866890940484,3000,0.667841503634081,1.15266386490758,0.00229843050759571
"splatter",256,"pca_shiftedlog","ok",0.945534886984246,0.46675523785279,3000,0.942227527824324,0.480718096916172,0.00330735915992231
"splatter",257,"pca_libnorm","ok",0.835838644108056,0.810336611271992,3000,0.832965866298949,0.817396192066126,0.00287277780910722
"splatter",257,"pca_log","ok",0.931534568286276,0.523317997832001,3000,0.927270647539216,0.53936760177372,0.0042639207470605
"splatter",257,"pca_raw","ok",0.646975342925699,1.18831756205873,3000,0.644932809858524,1.19175029287427,0.0020425330671755
"splatter",257,"pca_shiftedlog","ok",0.950548874648293,0.444752179766247,3000,0.947396143602682,0.458710612030364,0.00315273104561109
"splatter",258,"pca_libnorm","ok",0.451791142727833,1.48082255151948,3000,0.434863002458769,1.50351188560813,0.0169281402690645
"splatter",258,"pca_log","ok",0.902987488698948,0.622936630167313,3000,0.8969734233323,0.641955065928139,0.00601406536664817
"splatter",258,"pca_raw","ok",0.35135279670394,1.61077273790695,3000,0.350106401315085,1.61231956966963,0.00124639538885457
"splatter",258,"pca_shiftedlog","ok",0.898436056430274,0.637381968900049,3000,0.896208993890378,0.644332231413645,0.00222706253989613
"splatter",259,"pca_libnorm","ok",0.269738449287624,1.70910684360268,3000,0.265427829256419,1.71414371712944,0.00431062003120519
"splatter",259,"pca_log","ok",0.791765296098866,0.912654817334864,3000,0.784367001246026,0.928726006428106,0.00739829485284027
"splatter",259,"pca_raw","ok",0.210736210774215,1.77681038856236,3000,0.209882315401046,1.77777128405085,0.000853895373168795
"splatter",259,"pca_shiftedlog","ok",0.703834327508077,1.08842211019792,3000,0.710017770981597,1.07699996103696,-0.00618344347352051
"splatter",260,"pca_libnorm","ok",0.19533441932012,1.79406307657215,3000,0.193543528824373,1.79605843020279,0.00179089049574707
"splatter",260,"pca_log","ok",0.676657259023437,1.13726468506951,3000,0.668646431500977,1.15126637838343,0.00801082752246018
"splatter",260,"pca_raw","ok",0.141782507540844,1.85280057476152,3000,0.141153193006841,1.85347976195389,0.000629314534003139
"splatter",260,"pca_shiftedlog","ok",0.524653434542129,1.37890763353877,3000,0.528509122392868,1.37330386674928,-0.00385568785073931
"splatter",261,"pca_libnorm","ok",0.965035910412539,0.37397374018752,3000,0.96348647428507,0.382170253760964,0.00154943612746949
"splatter",261,"pca_log","ok",0.845001799059107,0.78739621777322,3000,0.844630760425184,0.788338098977377,0.000371038633923182
"splatter",261,"pca_raw","ok",0.731863738381128,1.03563750727534,3000,0.730706967018265,1.03786903409194,0.00115677136286341
"splatter",261,"pca_shiftedlog","ok",0.950463896835061,0.445134151306947,3000,0.947074066307367,0.460112741369473,0.00338983052769404
"splatter",262,"pca_libnorm","ok",0.965738065309559,0.370199593141001,3000,0.964503536036792,0.376810105826304,0.00123452927276746
"splatter",262,"pca_log","ok",0.870722783342493,0.719102820624441,3000,0.870124109684891,0.720765954565305,0.000598673657602466
"splatter",262,"pca_raw","ok",0.732474724423756,1.03445691176819,3000,0.731431397020621,1.03647209895757,0.00104332740313506
"splatter",262,"pca_shiftedlog","ok",0.966608026771417,0.365469414471764,3000,0.963774949973633,0.3806575890554,0.00283307679778355
"splatter",263,"pca_libnorm","ok",0.849110611153442,0.776889667447208,3000,0.846981811624454,0.782350786733282,0.0021287995289877
"splatter",263,"pca_log","ok",0.835972711695279,0.810005650115408,3000,0.834315070434623,0.81408827424396,0.0016576412606556
"splatter",263,"pca_raw","ok",0.630707884452782,1.21538819403056,3000,0.630025681466222,1.21651028525661,0.000682202986559965
"splatter",263,"pca_shiftedlog","ok",0.947650542112156,0.457600078181131,3000,0.943052012222056,0.477275550507015,0.00459852989009979
"splatter",264,"pca_libnorm","ok",0.416476466087309,1.5277742423705,3000,0.416213308083408,1.52811870208645,0.000263158003901309
"splatter",264,"pca_log","ok",0.789749798758672,0.917060960332143,3000,0.782939460003948,0.931795127688597,0.00681033875472403
"splatter",264,"pca_raw","ok",0.300382646387298,1.67286264064053,3000,0.299918541313134,1.67341741198885,0.000464105074163834
"splatter",264,"pca_shiftedlog","ok",0.914425463405863,0.585062514930282,3000,0.907542287480576,0.608137196755549,0.00688317592528731
"splatter",265,"pca_libnorm","ok",0.346460579881172,1.6168356999013,3000,0.341491130511314,1.62297118827006,0.00496944936985755
"splatter",265,"pca_log","ok",0.691777472283514,1.11035584875568,3000,0.68088704908198,1.1298016656352,0.0108904232015337
"splatter",265,"pca_raw","ok",0.238461222728653,1.74532378345263,3000,0.2381013951287,1.74573606810571,0.000359827599952872
"splatter",265,"pca_shiftedlog","ok",0.809620734014032,0.872649450778418,3000,0.809957130040993,0.871878133592092,-0.00033639602696145
"splatter",266,"pca_libnorm","ok",0.993963649178599,0.155387912289221,3000,0.993330542799226,0.163333489533212,0.000633106379373416
"splatter",266,"pca_log","ok",0.618678130040714,1.23502529522158,3000,0.620217840311269,1.23252936628501,-0.00153971027055499
"splatter",266,"pca_raw","ok",0.746923398585274,1.00613438747461,3000,0.746457116343295,1.00706083958558,0.000466282241978977
"splatter",266,"pca_shiftedlog","ok",0.798608786385438,0.897532648129442,3000,0.776782735872001,0.944917486615629,0.0218260505134367
"splatter",267,"pca_libnorm","ok",0.993073656309197,0.166449315898903,3000,0.992372408384241,0.174672168541626,0.00070124792495585
