"run_id","sparsity","depth","dropout","separability","n_cells","n_groups","batch","gene_strategy","clipping","is_null_control"
137,0.8,500,"none","low",1000,5,"none","all","none",FALSE
138,0.9,500,"none","low",1000,5,"none","all","none",FALSE
139,0.95,500,"none","low",1000,5,"none","all","none",FALSE
140,0.98,500,"none","low",1000,5,"none","all","none",FALSE
141,0.7,2000,"none","low",1000,5,"none","all","none",FALSE
142,0.8,2000,"none","low",1000,5,"none","all","none",FALSE
143,0.9,2000,"none","low",1000,5,"none","all","none",FALSE
144,0.95,2000,"none","low",1000,5,"none","all","none",FALSE
145,0.98,2000,"none","low",1000,5,"none","all","none",FALSE
146,0.7,10000,"none","low",1000,5,"none","all","none",FALSE
147,0.8,10000,"none","low",1000,5,"none","all","none",FALSE
148,0.9,10000,"none","low",1000,5,"none","all","none",FALSE
149,0.95,10000,"none","low",1000,5,"none","all","none",FALSE
150,0.98,10000,"none","low",1000,5,"none","all","none",FALSE
151,0.7,500,"high","low",1000,5,"none","all","none",FALSE
152,0.8,500,"high","low",1000,5,"none","all","none",FALSE
153,0.9,500,"high","low",1000,5,"none","all","none",FALSE
154,0.95,500,"high","low",1000,5,"none","all","none",FALSE
155,0.98,500,"high","low",1000,5,"none","all","none",FALSE
156,0.7,2000,"high","low",1000,5,"none","all","none",FALSE
157,0.8,2000,"high","low",1000,5,"none","all","none",FALSE
158,0.9,2000,"high","low",1000,5,"none","all","none",FALSE
159,0.95,2000,"high","low",1000,5,"none","all","none",FALSE
160,0.98,2000,"high","low",1000,5,"none","all","none",FALSE
161,0.7,10000,"high","low",1000,5,"none","all","none",FALSE
162,0.8,10000,"high","low",1000,5,"none","all","none",FALSE
163,0.9,10000,"high","low",1000,5,"none","all","none",FALSE
164,0.95,10000,"high","low",1000,5,"none","all","none",FALSE
165,0.98,10000,"high","low",1000,5,"none","all","none",FALSE
166,0.7,500,"low","low",1000,5,"none","all","none",FALSE
167,0.8,500,"low","low",1000,5,"none","all","none",FALSE
168,0.9,500,"low","low",1000,5,"none","all","none",FALSE
169,0.95,500,"low","low",1000,5,"none","all","none",FALSE
170,0.98,500,"low","low",1000,5,"none","all","none",FALSE
171,0.7,2000,"low","low",1000,5,"none","all","none",FALSE
172,0.8,2000,"low","low",1000,5,"none","all","none",FALSE
173,0.9,2000,"low","low",1000,5,"none","all","none",FALSE
174,0.95,2000,"low","low",1000,5,"none","all","none",FALSE
175,0.98,2000,"low","low",1000,5,"none","all","none",FALSE
176,0.7,10000,"low","low",1000,5,"none","all","none",FALSE
177,0.8,10000,"low","low",1000,5,"none","all","none",FALSE
178,0.9,10000,"low","low",1000,5,"none","all","none",FALSE
179,0.95,10000,"low","low",1000,5,"none","all","none",FALSE
180,0.98,10000,"low","low",1000,5,"none","all","none",FALSE
181,0.7,500,"none","medium",1000,5,"none","all","none",FALSE
182,0.8,500,"none","medium",1000,5,"none","all","none",FALSE
183,0.9,500,"none","medium",1000,5,"none","all","none",FALSE
184,0.95,500,"none","medium",1000,5,"none","all","none",FALSE
