"axis","simulator","method","failure_mode","threshold_status","threshold_value","mean_flag_rate","min_flag_rate","max_flag_rate","alignment"
"sparsity","splatter","pca_shiftedlog","step6_6_neighborhood_collapse","interpolated",0.929905116424021,0.927289628524196,0.866483767718336,1,"consistent_increasing"
"sparsity","splatter","pca_shiftedlog","step6_7_subspace_rotation_slippage","interpolated",0.929905116424021,0.707358291000266,0.609967992684042,0.878205128205128,"consistent_increasing"
"sparsity","symsim","pca_glmpca","step6_1_technical_separation","always_below_threshold",NA,0.321536351165981,0.288980338363054,0.391403749428441,"inconsistent_low_flag_despite_always_failing"
"sparsity","symsim","pca_glmpca","step6_2_cluster_collapse","always_below_threshold",NA,0.977777777777778,0.94238683127572,1,"consistent_uniform_high"
"sparsity","symsim","pca_glmpca","step6_3_phantom_clustering","always_below_threshold",NA,1,1,1,"consistent_uniform_high"
"sparsity","symsim","pca_glmpca","step6_4_variance_hijacking","always_below_threshold",NA,0.621399176954733,0.563786008230453,0.679012345679012,"consistent_uniform_high"
"sparsity","symsim","pca_glmpca","step6_6_neighborhood_collapse","always_below_threshold",NA,0.984362139917696,0.94238683127572,1,"consistent_uniform_high"
"sparsity","symsim","pca_glmpca","step6_7_subspace_rotation_slippage","always_below_threshold",NA,0.940740740740741,0.917695473251029,0.962962962962963,"consistent_uniform_high"
"sparsity","symsim","pca_libnorm","step6_1_technical_separation","interpolated",0.798999990600317,0.322908093278464,0.0891632373113855,0.442158207590306,"inconsistent_not_increasing"
"sparsity","symsim","pca_libnorm","step6_2_cluster_collapse","interpolated",0.798999990600317,0.994238683127572,0.97119341563786,1,"consistent_increasing"
"sparsity","symsim","pca_libnorm","step6_3_phantom_clustering","interpolated",0.798999990600317,1,1,1,"inconsistent_not_increasing"
"sparsity","symsim","pca_libnorm","step6_4_variance_hijacking","interpolated",0.798999990600317,0.478189300411523,0.11522633744856,0.65843621399177,"inconsistent_not_increasing"
"sparsity","symsim","pca_libnorm","step6_6_neighborhood_collapse","interpolated",0.798999990600317,0.975308641975309,0.909465020576132,1,"consistent_increasing"
"sparsity","symsim","pca_libnorm","step6_7_subspace_rotation_slippage","interpolated",0.798999990600317,0.449382716049383,0.415637860082305,0.489711934156379,"consistent_increasing"
"sparsity","symsim","pca_log","step6_1_technical_separation","always_below_threshold",NA,0.333424782807499,0.333333333333333,0.333790580704161,"inconsistent_low_flag_despite_always_failing"
"sparsity","symsim","pca_log","step6_2_cluster_collapse","always_below_threshold",NA,1,1,1,"consistent_uniform_high"
"sparsity","symsim","pca_log","step6_3_phantom_clustering","always_below_threshold",NA,1,1,1,"consistent_uniform_high"
"sparsity","symsim","pca_log","step6_4_variance_hijacking","always_below_threshold",NA,0.678189300411523,0.674897119341564,0.683127572016461,"consistent_uniform_high"
"sparsity","symsim","pca_log","step6_6_neighborhood_collapse","always_below_threshold",NA,0.726748971193416,0.691358024691358,0.765432098765432,"consistent_uniform_high"
