"axis","method","pc","spearman_rho","monotonic_increasing","monotonic_decreasing","first_level_crossing_30deg","always_above_30deg_ceiling_effect","min_angle","max_angle"
"separability","pca_log","angle_pc2",1,TRUE,FALSE,"high",TRUE,55.9102916912625,75.2009121767471
"separability","pca_log","angle_pc3",1,TRUE,FALSE,"high",TRUE,58.3353773393597,75.8073218116559
"batch","pca_raw","angle_pc1",1,TRUE,FALSE,"none",TRUE,50.5570976623988,55.8687761519832
"batch","pca_raw","angle_pc2",1,TRUE,FALSE,"none",TRUE,44.3863497799981,51.1978184529085
"batch","pca_raw","angle_pc3",1,TRUE,FALSE,"none",TRUE,56.1470005081967,60.6874842581847
"batch","pca_glmpca","angle_pc1",1,TRUE,FALSE,"none",TRUE,72.1126634088749,78.258798581089
"batch","pca_glmpca","angle_pc2",1,TRUE,FALSE,"none",TRUE,74.391108916178,78.3933171962588
"batch","pca_glmpca","angle_pc3",0.5,FALSE,FALSE,"none",TRUE,75.4528972281636,78.0396375808091
"batch","pca_libnorm","angle_pc1",1,TRUE,FALSE,"none",TRUE,45.4381461857402,50.8641570719724
"batch","pca_libnorm","angle_pc2",1,TRUE,FALSE,"none",TRUE,50.0916724656101,55.9224321215197
"batch","pca_libnorm","angle_pc3",0.5,FALSE,FALSE,"none",TRUE,57.1443695213104,58.6756661313905
"batch","pca_sctransform_v2","angle_pc1",1,TRUE,FALSE,"none",TRUE,62.0464183356488,66.5728413070488
"batch","pca_sctransform_v2","angle_pc2",0.5,FALSE,FALSE,"none",TRUE,66.1416633314839,68.8948304979804
"batch","pca_sctransform_v2","angle_pc3",-0.5,FALSE,FALSE,"none",TRUE,68.1881515425628,70.2163551445786
"batch","pca_shiftedlog","angle_pc1",1,TRUE,FALSE,"none",TRUE,51.2970528445792,61.9709700797765
"batch","pca_shiftedlog","angle_pc2",1,TRUE,FALSE,"none",TRUE,55.8277856385672,63.6775041589644
"batch","pca_shiftedlog","angle_pc3",0.5,FALSE,FALSE,"none",TRUE,61.3203122913184,61.6717171462726
"batch","pca_log","angle_pc1",1,TRUE,FALSE,"none",TRUE,60.1692403143109,67.7290956166126
"batch","pca_log","angle_pc2",1,TRUE,FALSE,"none",TRUE,62.0180296444218,68.1851655966995
"batch","pca_log","angle_pc3",1,TRUE,FALSE,"none",TRUE,65.1969213086006,67.954754397131
