"method","source","run_id","replicate","sparsity","n_cells","embedding_dim","ari_vs_random","ch_index","ch_noise_95pct","phantom_flag_ari","phantom_flag_ch_literal","phantom_flag_ch_relative","phantom_flag_any_relative","status","error_msg"
"pca_libnorm","splatter",10936,1,0.7,1000,30,-0.000961882644983326,28.2933647699351,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","splatter",10936,2,0.7,1000,30,-0.000539813982361492,29.6018943196483,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","splatter",10936,3,0.7,1000,30,-0.0014044579197151,26.5807362530964,27.7877163071996,FALSE,TRUE,FALSE,FALSE,"ok",NA
"pca_libnorm","splatter",10937,1,0.8,1000,30,-0.00176156991646322,40.2322257737026,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","splatter",10937,2,0.8,1000,30,-0.000514875818486256,31.0475244551443,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","splatter",10937,3,0.8,1000,30,-0.00122671388519024,33.258771496994,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","splatter",10938,1,0.9,1000,30,0.00203692759453643,80.3357373911368,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","splatter",10938,2,0.9,1000,30,-0.000179095936250817,50.248561134294,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","splatter",10938,3,0.9,1000,30,0.000180378492267376,64.5616794211715,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","splatter",10939,1,0.95,1000,30,-0.000171544199507392,40.5236865725333,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","splatter",10939,2,0.95,1000,30,-9.90824255464873e-05,37.7140850699604,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","splatter",10939,3,0.95,1000,30,-0.00106066684016454,57.121471168611,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","splatter",10940,1,0.98,1000,30,0.000285067621219664,48.4427797462459,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","splatter",10940,2,0.98,1000,30,-0.000111855196906944,66.9553821970401,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","splatter",10940,3,0.98,1000,30,0.000896450840980596,54.1145666340861,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","scdesign3",10936,1,0.7,1000,30,-0.000706455861758923,212.091829890035,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","scdesign3",10936,2,0.7,1000,30,-0.00131288382122296,229.257995142986,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","scdesign3",10936,3,0.7,1000,30,-0.000962976339264589,233.557989447114,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","scdesign3",10937,1,0.8,1000,30,0.00217506825033847,196.160986114235,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","scdesign3",10937,2,0.8,1000,30,-0.000700194209315026,228.201411878292,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","scdesign3",10937,3,0.8,1000,30,0.00598726244721001,218.767465109679,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","scdesign3",10938,1,0.9,1000,30,-0.00056723030879764,215.164126299515,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","scdesign3",10938,2,0.9,1000,30,-0.00136421697051457,233.906535705305,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","scdesign3",10938,3,0.9,1000,30,0.00105967912321407,222.951143534374,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","scdesign3",10939,1,0.95,1000,30,-0.000879200029583721,216.071616540677,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","scdesign3",10939,2,0.95,1000,30,0.00193442763703573,237.323723931519,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
